zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
53594,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53901,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54921,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53933,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53932,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53934,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53936,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54970,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54976,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53964,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54941,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54943,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54494,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53916,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53910,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53913,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53559,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53948,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53949,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53944,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53946,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54968,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54966,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54984,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54981,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54982,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53920,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53926,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
53925,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54909,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54613,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
54457,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.122295669,0.085570093,0.157188685
45167,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45101,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45663,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45660,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45661,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45616,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45697,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45693,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45646,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45168,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45133,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45671,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45679,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45657,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45144,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45115,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45652,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45650,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
45684,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.113151338,0,0.139128613
14065,122,Village of Arcade - (NY),NY,Bundled,Municipal,0.046001638,0.043183497,0.054202433
14042,122,Village of Arcade - (NY),NY,Bundled,Municipal,0.046001638,0.043183497,0.054202433
14009,122,Village of Arcade - (NY),NY,Bundled,Municipal,0.046001638,0.043183497,0.054202433
31647,123,City of Adel- (GA),GA,Bundled,Municipal,0.143888789,0.089828167,0.140067662
31620,123,City of Adel- (GA),GA,Bundled,Municipal,0.143888789,0.089828167,0.140067662
56110,150,Adrian Public Utilities Comm,MN,Bundled,Municipal,0.113826582,0.136666667,0.114688129
56256,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
56252,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.068211001,0.083307199,0.113884403
